id,code,name
l10n_pe_economic_activity_4710,4710,Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco
l10n_pe_economic_activity_4719,4719,Otras actividades de venta al por menor en comercios no especializados
l10n_pe_economic_activity_4721,4721,Venta al por menor de alimentos en comercios especializados
l10n_pe_economic_activity_4722,4722,Venta al por menor de bebidas en comercios especializados
l10n_pe_economic_activity_4723,4723,Venta al por menor de productos de tabaco en comercios especializados
l10n_pe_economic_activity_4730,4730,Venta al por menor de combustibles para vehículos automotores en comercios especializados
l10n_pe_economic_activity_4740,4740,Venta al por menor de ordenadores, equipo periférico, programas informáticos y equipo de telecomunicaciones en comercios especializados
l10n_pe_economic_activity_4742,4742,Venta al por menor de equipo de sonido y de vídeo en comercios especializados
l10n_pe_economic_activity_4751,4751,Venta al por menor de productos textiles en comercios especializados
l10n_pe_economic_activity_4750,4750,Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados
l10n_pe_economic_activity_4750,4750,Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados
l10n_pe_economic_activity_4750,4750,Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados
l10n_pe_economic_activity_4761,4761,Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados
l10n_pe_economic_activity_4762,4762,Venta al por menor de grabaciones de música y de vídeo en comercios especializados
l10n_pe_economic_activity_4763,4763,Venta al por menor de equipo de deporte en comercios especializados
l10n_pe_economic_activity_4764,4764,Venta al por menor de juegos y juguetes en comercios especializados
l10n_pe_economic_activity_4770,4770,Venta al por menor de prendas de vestir, calzado y artículos de cuero en comercios especializados
l10n_pe_economic_activity_4770,4770,Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en comercios especializados
l10n_pe_economic_activity_4773,4773,Venta al por menor de otros productos nuevos en comercios especializados
l10n_pe_economic_activity_4774,4774,Venta al por menor de artículos de segunda mano
l10n_pe_economic_activity_4781,4781,Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados
l10n_pe_economic_activity_4780,4780,Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados
l10n_pe_economic_activity_4789,4789,Venta al por menor de otros productos en puestos de venta y mercados
l10n_pe_economic_activity_4791,4791,Venta al por menor por correo y por internet
l10n_pe_economic_activity_4799,4799,Otras actividades de venta al por menor no realizadas en comercios, puestos de venta o mercados
l10n_pe_economic_activity_4911,4911,Transporte interurbano de pasajeros por ferrocarril
l10n_pe_economic_activity_4912,4912,Transporte de carga por ferrocarril
l10n_pe_economic_activity_4921,4921,Transporte urbano y suburbano de pasajeros por vía terrestre
l10n_pe_economic_activity_4922,4922,Otras actividades de transporte por vía terrestre
l10n_pe_economic_activity_4923,4923,Transporte de carga por carretera
l10n_pe_economic_activity_4930,4930,Transporte por tuberías
l10n_pe_economic_activity_5011,5011,Transporte de pasajeros marítimo y de cabotaje
l10n_pe_economic_activity_5012,5012,Transporte de carga marítimo y de cabotaje
